"Timestamp","ProcessName","CpuPct","WorkingSetPrivateMB","InstanceCount"
"2026-04-06T02:08:59","powershell","3,7","123,25","1"
"2026-04-06T02:08:59","wmplayer","0,83","27,21","1"
"2026-04-06T02:08:59","qwen","0,3","679,33","6"
"2026-04-06T02:08:59","ollama","0,08","165,77","1"
"2026-04-06T02:08:59","uihost","0","11,75","1"
"2026-04-06T02:08:59","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:08:59","openconsole","0","2,43","1"
"2026-04-06T02:08:59","csrss","0","3,91","2"
"2026-04-06T02:08:59","audiodg","0","6,88","1"
"2026-04-06T02:08:59","winlogon","0","3,75","1"
