"Timestamp","Browser","PID","ProcessName","CPUSecondsTotal","WorkingSetMB","PrivateMemoryMB","Threads","Handles","MainWindowTitle","StartTime","Path"
"2026-04-06T02:08:46","firefox","6268","firefox","72,08","529,97","479,84","20","316","","06/04/2026 01:58:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","2248","firefox","413,75","270,27","311,93","79","1751","Análise de Bundle VibeToolkit — Mozilla Firefox — navegação privativa","05/04/2026 23:54:56","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","8068","firefox","43,64","165,35","189,73","16","283","","05/04/2026 23:54:59","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","1224","firefox","661,22","87,77","166,7","17","482","","05/04/2026 23:54:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","9532","firefox","8,53","73,51","45,34","17","293","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","7840","firefox","0,08","28,41","12,84","15","266","","06/04/2026 01:59:26","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","10144","firefox","0,16","28,34","12,85","15","266","","06/04/2026 01:59:05","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","9800","firefox","0,11","28,06","12,53","15","266","","06/04/2026 01:59:16","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","3256","firefox","0,09","8,19","6,48","5","255","","05/04/2026 23:55:40","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","6484","firefox","0,11","5,39","22,79","5","190","","05/04/2026 23:55:02","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","484","firefox","1,61","4,54","6,27","6","224","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:08:46","firefox","7380","firefox","0,12","4,24","23,82","5","282","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
