"Timestamp","Browser","PID","ProcessName","CPUSecondsTotal","WorkingSetMB","PrivateMemoryMB","Threads","Handles","MainWindowTitle","StartTime","Path"
"2026-04-06T02:43:08","firefox","9800","firefox","41,55","316,78","307,08","28","357","","06/04/2026 01:59:16","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","2248","firefox","523,59","260,05","336,49","81","1915","(1209) Os Furos de Roteiro Mais Absurdos de Hunter x Hunter - YouTube — Youtube no Mozilla Firefox","05/04/2026 23:54:56","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","1224","firefox","816,8","171,71","246,73","17","454","","05/04/2026 23:54:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","8068","firefox","52,2","110,35","226,02","16","284","","05/04/2026 23:54:59","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","9532","firefox","12,61","74,76","54,38","18","297","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","4816","firefox","0,12","28,41","12,82","15","266","","06/04/2026 02:35:13","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","10128","firefox","0,11","28,39","12,82","15","266","","06/04/2026 02:35:13","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","9712","firefox","0,12","28,1","12,65","17","266","","06/04/2026 02:36:36","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","1588","firefox","0,61","26,8","18,97","18","284","","06/04/2026 02:20:09","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","9132","firefox","0,05","16,55","6,33","7","261","","06/04/2026 02:37:08","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","3256","firefox","0,11","10,02","6,62","5","258","","05/04/2026 23:55:40","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","7380","firefox","2,8","8,83","24,8","5","284","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","6484","firefox","6,64","7,21","23,43","8","205","","05/04/2026 23:55:02","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:43:08","firefox","484","firefox","2,17","4,83","6,27","6","220","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
