"Timestamp","ProcessName","CpuPct","WorkingSetPrivateMB","InstanceCount"
"2026-04-06T02:43:17","node","16,63","95,44","1"
"2026-04-06T02:43:17","powershell","8,74","158,85","1"
"2026-04-06T02:43:17","pwsh","2,86","32,66","1"
"2026-04-06T02:43:17","firefox","1,69","1301,93","14"
"2026-04-06T02:43:17","openconsole","0,17","3,94","2"
"2026-04-06T02:43:17","windowsterminal","0,17","30,44","1"
"2026-04-06T02:43:17","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:43:17","csrss","0","3,88","2"
"2026-04-06T02:43:17","audiodg","0","7,3","1"
"2026-04-06T02:43:17","wininit","0","1,33","1"
"2026-04-06T02:43:17","dllhost","0","10,82","3"
"2026-04-06T02:43:17","winlogon","0","3,75","1"
"2026-04-06T02:43:17","idle","0","0,06","1"
"2026-04-06T02:43:17","servicehost","0","21,54","1"
"2026-04-06T02:43:17","wudfhost","0","1,96","1"
"2026-04-06T02:43:17","searchprotocolhost","0","1,91","1"
"2026-04-06T02:43:17","uihost","0","11,75","1"
"2026-04-06T02:43:17","useroobebroker","0","2,03","1"
"2026-04-06T02:43:17","snippingtool","0","4,04","1"
"2026-04-06T02:43:17","startmenuexperiencehost","0","24,43","1"
"2026-04-06T02:43:21","node","29,9","174,3","1"
"2026-04-06T02:43:21","powershell","17,46","153,14","1"
"2026-04-06T02:43:21","firefox","3,49","1304,2","14"
"2026-04-06T02:43:21","windowsterminal","0,65","31,04","1"
"2026-04-06T02:43:21","pwsh","0,22","32,66","1"
"2026-04-06T02:43:21","openconsole","0,22","3,98","2"
"2026-04-06T02:43:21","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:43:21","csrss","0","3,88","2"
"2026-04-06T02:43:21","audiodg","0","7,3","1"
"2026-04-06T02:43:21","wininit","0","1,33","1"
"2026-04-06T02:43:21","dllhost","0","10,72","3"
"2026-04-06T02:43:21","winlogon","0","3,75","1"
"2026-04-06T02:43:21","idle","0","0,06","1"
"2026-04-06T02:43:21","servicehost","0","21,54","1"
"2026-04-06T02:43:21","wudfhost","0","1,96","1"
"2026-04-06T02:43:21","searchprotocolhost","0","1,91","1"
"2026-04-06T02:43:21","uihost","0","11,75","1"
"2026-04-06T02:43:21","useroobebroker","0","2,03","1"
"2026-04-06T02:43:21","snippingtool","0","4,04","1"
"2026-04-06T02:43:21","startmenuexperiencehost","0","24,39","1"
"2026-04-06T02:43:24","firefox","14,91","305,87","1"
"2026-04-06T02:43:24","powershell","10,46","154,12","1"
"2026-04-06T02:43:24","node","8,9","221,24","1"
"2026-04-06T02:43:24","windowsterminal","2,23","31,05","1"
"2026-04-06T02:43:24","svchost","2,23","360,53","78"
"2026-04-06T02:43:24","explorer","1,11","189,39","1"
"2026-04-06T02:43:24","onedrive.sync.service","0,67","75,67","1"
"2026-04-06T02:43:24","taskhostw","0,22","24,28","3"
"2026-04-06T02:43:24","uihost","0","11,75","1"
"2026-04-06T02:43:24","wudfhost","0","1,96","1"
"2026-04-06T02:43:24","pwsh","0","30,49","1"
"2026-04-06T02:43:24","dllhost","0","10,72","3"
"2026-04-06T02:43:24","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:43:24","audiodg","0","6,17","1"
"2026-04-06T02:43:24","wininit","0","1,33","1"
"2026-04-06T02:43:24","servicehost","0","21,71","1"
"2026-04-06T02:43:24","registry","0","6,42","1"
"2026-04-06T02:43:24","searchindexer","0","32,2","1"
"2026-04-06T02:43:24","useroobebroker","0","2,03","1"
"2026-04-06T02:43:24","dwm","0","114,48","1"
"2026-04-06T02:43:27","powershell","8,35","153,97","1"
"2026-04-06T02:43:27","windowsterminal","2,21","31,18","1"
"2026-04-06T02:43:27","explorer","0,25","187,82","1"
"2026-04-06T02:43:27","node","0,25","221,78","1"
"2026-04-06T02:43:27","svchost","0,25","360,71","78"
"2026-04-06T02:43:27","searchprotocolhost","0","4,35","2"
"2026-04-06T02:43:27","csrss","0","3,88","2"
"2026-04-06T02:43:27","wininit","0","1,33","1"
"2026-04-06T02:43:27","onedrive.sync.service","0","75,67","1"
"2026-04-06T02:43:27","uihost","0","11,75","1"
"2026-04-06T02:43:27","servicehost","0","21,71","1"
"2026-04-06T02:43:27","wudfhost","0","1,96","1"
"2026-04-06T02:43:27","dllhost","0","10,72","3"
"2026-04-06T02:43:27","audiodg","0","6,17","1"
"2026-04-06T02:43:27","pwsh","0","30,49","1"
"2026-04-06T02:43:27","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:43:27","registry","0","6,43","1"
"2026-04-06T02:43:27","searchindexer","0","32,2","1"
"2026-04-06T02:43:27","useroobebroker","0","1,93","1"
"2026-04-06T02:43:27","system","0","0,2","1"
"2026-04-06T02:43:30","powershell","9,62","137,85","1"
"2026-04-06T02:43:30","node","3,3","153,68","1"
"2026-04-06T02:43:30","windowsterminal","1,1","31,31","1"
"2026-04-06T02:43:30","uihost","1,1","10,87","1"
"2026-04-06T02:43:30","sihost","0,27","5,97","1"
"2026-04-06T02:43:30","dllhost","0","10,72","3"
"2026-04-06T02:43:30","explorer","0","187,82","1"
"2026-04-06T02:43:30","wininit","0","1,33","1"
"2026-04-06T02:43:30","servicehost","0","21,71","1"
"2026-04-06T02:43:30","winlogon","0","3,75","1"
"2026-04-06T02:43:30","pwsh","0","30,49","1"
"2026-04-06T02:43:30","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:43:30","wudfhost","0","1,96","1"
"2026-04-06T02:43:30","csrss","0","3,88","2"
"2026-04-06T02:43:30","audiodg","0","6,17","1"
"2026-04-06T02:43:30","searchindexer","0","32,2","1"
"2026-04-06T02:43:30","useroobebroker","0","1,93","1"
"2026-04-06T02:43:30","dwm","0","114,48","1"
"2026-04-06T02:43:30","idle","0","0,06","1"
"2026-04-06T02:43:30","msmpeng","0","321,64","1"
"2026-04-06T02:43:33","powershell","10,1","137,85","1"
"2026-04-06T02:43:33","filecoauth","7,51","17,5","1"
"2026-04-06T02:43:33","startmenuexperiencehost","4,92","30,29","1"
"2026-04-06T02:43:33","svchost","3,11","364,93","78"
"2026-04-06T02:43:33","searchapp","2,85","104,48","1"
"2026-04-06T02:43:33","sihost","1,55","6,02","1"
