"Timestamp","Browser","PID","ProcessName","CPUSecondsTotal","WorkingSetMB","PrivateMemoryMB","Threads","Handles","MainWindowTitle","StartTime","Path"
"2026-04-05T23:58:54","firefox","2432","firefox","74,45","716,27","925,9","20","326","","05/04/2026 23:55:12","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","2248","firefox","39,16","138,83","223,36","80","1720","OpenClaude CLI Explicado — Mozilla Firefox","05/04/2026 23:54:56","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","1224","firefox","20,97","69,7","186,86","18","471","","05/04/2026 23:54:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","8068","firefox","7,12","39,59","139","17","285","","05/04/2026 23:54:59","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","9532","firefox","1,09","21,11","56,19","18","291","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","3256","firefox","0,06","16,53","6,48","5","257","","05/04/2026 23:55:40","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","484","firefox","0,12","16,29","6,3","7","225","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","6484","firefox","0,06","15,43","22,66","5","192","","05/04/2026 23:55:02","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","8244","firefox","0,11","15,39","12,55","16","268","","05/04/2026 23:55:16","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","7380","firefox","0,06","9,98","23,81","5","282","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","228","firefox","0,09","5,72","12,56","16","268","","05/04/2026 23:55:12","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-05T23:58:54","firefox","3224","firefox","0,09","5,7","12,57","16","268","","05/04/2026 23:55:12","C:\Program Files\Mozilla Firefox\firefox.exe"
