"Timestamp","CpuTotalPct","ProcessorQueueLength","AvailableMB","PagesInputPerSec","PagesPerSec","PageFileUsagePct","DiskBusyPct","DiskQueueLength","DiskSecRead","DiskSecWrite","DiskTransfersPerSec"
"2026-04-06T02:18:58","11","1","317","0","0","20","0","0","0","0","3"
"2026-04-06T02:19:03","66","0","339","0","0","20","0","0","0","0","5"
"2026-04-06T02:19:08","26","1","331","3","3","20","0","0","0","0","0"
"2026-04-06T02:19:11","32","2","330","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:14","22","1","325","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:17","5","0","313","0","0","20","0","0","0","0","30"
"2026-04-06T02:19:20","22","0","322","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:23","10","0","323","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:26","28","0","327","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:29","28","1","354","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:32","7","0","349","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:34","1","2","352","0","0","20","0","0","0","0","0"
"2026-04-06T02:19:38","100","31","339","7","7","20","0","0","0","0","0"
"2026-04-06T02:19:55","100","12","335","1","1","20","0","0","0","0","7"
"2026-04-06T02:20:04","100","10","318","80","80","20","0","0","0","0","0"
"2026-04-06T02:20:12","100","16","188","0","0","20","0","0","0","0","45"
"2026-04-06T02:20:16","66","6","154","92","92","20","0","0","0","0","0"
"2026-04-06T02:20:19","97","3","145","11","11","20","0","0","0","0","11"
"2026-04-06T02:20:22","61","3","161","33","51534","22","1","0","0","0","15"
"2026-04-06T02:20:25","75","1","92","0","0","22","2","0","0","0","54"
"2026-04-06T02:20:28","66","4","78","11","11","22","0","0","0","0","18"
"2026-04-06T02:20:32","57","1","184","6182","6182","25","6","0","0","0","778"
"2026-04-06T02:20:35","78","0","164","0","0","25","0","0","0","0","0"
"2026-04-06T02:20:38","43","0","173","51","51","23","3","0","0","0","7"
"2026-04-06T02:20:41","75","3","167","34","34","23","0","0","0","0","11"
"2026-04-06T02:20:44","50","9","213","5098","5098","23","8","0","0","0","3346"
"2026-04-06T02:20:47","72","0","201","3","3","23","1","0","0","0","43"
"2026-04-06T02:20:50","0","0","199","0","0","23","0","0","0","0","0"
"2026-04-06T02:20:53","49","0","222","3","3","23","25","1","0","0","48"
"2026-04-06T02:20:56","76","1","214","174","174","23","3","0","0","0","261"
"2026-04-06T02:20:59","38","0","210","3","3","23","5","0","0","0","11"
"2026-04-06T02:21:02","40","13","202","49","49","23","6","0","0","0","105"
"2026-04-06T02:21:05","78","11","200","11","11","23","0","0","0","0","0"
"2026-04-06T02:21:09","32","3","195","8854","8854","23","17","1","0","0","2516"
"2026-04-06T02:21:12","54","0","139","4157","4157","23","1","0","0","0","206"
"2026-04-06T02:21:16","45","3","92","1271","1271","23","0","0","0","0","170"
"2026-04-06T02:21:19","63","0","134","56","56","23","9","0","0","0","3"
"2026-04-06T02:21:21","100","14","106","9592","14698","24","5","0","0","0","726"
"2026-04-06T02:21:25","62","11","78","42","42","24","107","6","0","0","414"
"2026-04-06T02:21:29","100","16","105","2363","2363","24","16","1","0","0","1210"
"2026-04-06T02:21:33","100","13","51","2733","2733","24","4","0","0","0","1005"
"2026-04-06T02:21:37","100","15","69","18119","18119","25","38","2","0","0","335"
"2026-04-06T02:21:41","97","3","359","170","170","26","0","0","0","0","0"
"2026-04-06T02:21:44","31","1","354","347","347","26","4","0","0","0","386"
"2026-04-06T02:21:47","9","0","556","7","7","25","0","0","0","0","0"
"2026-04-06T02:21:50","0","0","562","0","0","25","0","0","0","0","3"
"2026-04-06T02:21:53","16","1","559","27","27","25","3","0","0","0","19"
"2026-04-06T02:21:56","54","0","541","0","0","25","0","0","0","0","3"
"2026-04-06T02:21:59","32","2","542","3","3","25","2","0","0","0","7"
"2026-04-06T02:22:02","7","0","521","0","0","25","0","0","0","0","11"
"2026-04-06T02:22:05","5","0","520","0","0","25","0","0","0","0","3"
"2026-04-06T02:22:08","11","0","521","0","0","25","0","0","0","0","0"
"2026-04-06T02:22:11","100","7","481","2721","2721","25","2","0","0","0","519"
"2026-04-06T02:22:14","22","2","430","677","677","25","18","1","0","0","188"
"2026-04-06T02:22:17","96","3","423","0","0","25","0","0","0","0","0"
"2026-04-06T02:22:20","54","1","425","161","161","25","0","0","0","0","0"
"2026-04-06T02:22:23","76","1","398","0","0","25","0","0","0","0","11"
"2026-04-06T02:22:27","50","2","382","77","77","25","0","0","0","0","0"
"2026-04-06T02:22:30","81","7","412","0","0","25","2","0","0","0","277"
"2026-04-06T02:22:33","50","3","415","10875","10875","25","7","0","0","0","578"
