"Timestamp","Browser","PID","ProcessName","CPUSecondsTotal","WorkingSetMB","PrivateMemoryMB","Threads","Handles","MainWindowTitle","StartTime","Path"
"2026-04-06T02:18:56","firefox","6268","firefox","88,19","503,39","450,83","18","307","","06/04/2026 01:58:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","2248","firefox","434,25","310,26","321,76","67","1698","Diagnóstico Stress Windows — Viewer — Mozilla Firefox","05/04/2026 23:54:56","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","1224","firefox","696,78","174,15","297,62","21","466","","05/04/2026 23:54:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","8068","firefox","44,03","171,02","192,56","16","283","","05/04/2026 23:54:59","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","9532","firefox","10","88,11","61,29","18","296","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","6828","firefox","1,81","77,57","50,84","18","296","","06/04/2026 02:09:11","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","7840","firefox","0,08","29,92","13,14","15","266","","06/04/2026 01:59:26","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","10144","firefox","0,16","29,85","13,16","15","266","","06/04/2026 01:59:05","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","9800","firefox","0,12","29,58","12,84","15","266","","06/04/2026 01:59:16","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","3256","firefox","0,09","8,19","6,48","5","255","","05/04/2026 23:55:40","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","6484","firefox","0,12","5,39","22,79","5","190","","05/04/2026 23:55:02","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","484","firefox","1,64","4,54","6,27","6","224","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:18:56","firefox","7380","firefox","0,14","4,24","23,82","5","282","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
