"Timestamp","ProcessName","CpuPct","WorkingSetPrivateMB","InstanceCount"
"2026-04-06T02:14:03","powershell","8,81","106,19","1"
"2026-04-06T02:14:03","explorer","5,15","190,85","1"
"2026-04-06T02:14:03","windowsterminal","2,99","23,27","1"
"2026-04-06T02:14:03","qwen","0,66","680,29","6"
"2026-04-06T02:14:03","firefox","0,34","1503,13","13"
"2026-04-06T02:14:03","wmplayer","0,33","27,21","1"
"2026-04-06T02:14:03","uihost","0,17","11,34","1"
"2026-04-06T02:14:03","audiodg","0,17","7,04","1"
"2026-04-06T02:14:03","startmenuexperiencehost","0,17","24,49","1"
"2026-04-06T02:14:03","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:14:03","searchfilterhost","0","1,48","1"
"2026-04-06T02:14:03","onedrive.sync.service","0","67,78","1"
"2026-04-06T02:14:03","csrss","0","3,92","2"
"2026-04-06T02:14:03","searchapp","0","103,92","1"
"2026-04-06T02:14:03","wudfhost","0","1,96","1"
"2026-04-06T02:14:03","openconsole","0","2,38","1"
"2026-04-06T02:14:03","winlogon","0","3,68","1"
"2026-04-06T02:14:03","servicehost","0","22,31","1"
"2026-04-06T02:14:03","filecoauth","0","9,84","1"
"2026-04-06T02:14:03","registry","0","6,13","1"
"2026-04-06T02:14:06","powershell","16,08","110,37","1"
"2026-04-06T02:14:06","qwen","1,53","680,32","6"
"2026-04-06T02:14:06","windowsterminal","1,53","23,05","1"
"2026-04-06T02:14:06","wmplayer","0,77","27,21","1"
"2026-04-06T02:14:06","audiodg","0,51","7,01","1"
"2026-04-06T02:14:06","searchfilterhost","0","1,48","1"
"2026-04-06T02:14:06","bravecrashhandler64","0","1,59","1"
"2026-04-06T02:14:06","onedrive.sync.service","0","67,75","1"
"2026-04-06T02:14:06","uihost","0","11,34","1"
"2026-04-06T02:14:06","csrss","0","3,92","2"
"2026-04-06T02:14:06","servicehost","0","22,31","1"
"2026-04-06T02:14:06","winlogon","0","3,68","1"
"2026-04-06T02:14:06","openconsole","0","2,38","1"
"2026-04-06T02:14:06","searchapp","0","103,92","1"
"2026-04-06T02:14:06","wudfhost","0","1,96","1"
"2026-04-06T02:14:06","filecoauth","0","9,84","1"
"2026-04-06T02:14:06","dllhost","0","10,9","3"
"2026-04-06T02:14:06","registry","0","5,65","1"
"2026-04-06T02:14:06","useroobebroker","0","1,93","1"
"2026-04-06T02:14:06","snippingtool","0","4,04","1"
"2026-04-06T02:14:09","powershell","12,77","109,59","1"
"2026-04-06T02:14:09","svchost","5,44","367,06","79"
"2026-04-06T02:14:09","qwen","1,63","680,32","6"
"2026-04-06T02:14:09","wmplayer","1,63","27,21","1"
"2026-04-06T02:14:09","explorer","0,54","185,35","1"
"2026-04-06T02:14:09","windowsterminal","0,54","23,05","1"
"2026-04-06T02:14:09","firefox","0,27","1491,26","13"
