"Timestamp","Browser","PID","ProcessName","CPUSecondsTotal","WorkingSetMB","PrivateMemoryMB","Threads","Handles","MainWindowTitle","StartTime","Path"
"2026-04-06T02:13:56","firefox","6268","firefox","86,33","523,61","472,18","19","311","","06/04/2026 01:58:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","2248","firefox","428,67","312,48","335,11","81","1817","Diagnóstico Stress Windows — Viewer — Mozilla Firefox","05/04/2026 23:54:56","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","1224","firefox","691,11","173,85","300,09","21","465","","05/04/2026 23:54:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","8068","firefox","43,88","169,38","191,54","17","287","","05/04/2026 23:54:59","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","9532","firefox","9,66","85,05","57,88","18","296","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","6828","firefox","1,34","75,34","47,79","19","300","","06/04/2026 02:09:11","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","7840","firefox","0,08","29,89","13,14","15","266","","06/04/2026 01:59:26","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","10144","firefox","0,16","29,81","13,16","15","266","","06/04/2026 01:59:05","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","9800","firefox","0,12","29,55","12,84","15","266","","06/04/2026 01:59:16","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","3256","firefox","0,09","8,19","6,48","5","255","","05/04/2026 23:55:40","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","6484","firefox","0,11","5,39","22,79","5","190","","05/04/2026 23:55:02","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","484","firefox","1,64","4,54","6,27","6","224","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:13:56","firefox","7380","firefox","0,12","4,24","23,82","5","282","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
