"Timestamp","CpuTotalPct","ProcessorQueueLength","AvailableMB","PagesInputPerSec","PagesPerSec","PageFileUsagePct","DiskBusyPct","DiskQueueLength","DiskSecRead","DiskSecWrite","DiskTransfersPerSec"
"2026-04-06T02:13:59","7","0","254","150","150","20","0","0","0","0","19"
"2026-04-06T02:14:03","11","0","274","15","15","20","0","0","0","0","0"
"2026-04-06T02:14:06","5","0","278","0","0","20","0","0","0","0","0"
"2026-04-06T02:14:09","4","0","280","0","0","20","0","0","0","0","0"
"2026-04-06T02:14:12","26","3","304","7","7","20","0","0","0","0","0"
"2026-04-06T02:14:15","5","1","295","0","0","20","0","0","0","0","7"
"2026-04-06T02:14:18","48","0","297","0","0","20","0","0","0","0","29"
"2026-04-06T02:14:22","1","0","284","0","0","20","0","0","0","0","3"
"2026-04-06T02:14:25","4","0","288","0","0","20","0","0","0","0","0"
"2026-04-06T02:14:28","0","0","287","0","0","20","0","0","0","0","0"
